variable,autoDriver,autoPassenger,pt,bicycle,walk
asc,0,-2.2590693748864337,-1.2496109607399828,-0.3487882925282978,2.3718411526767333
age_5_14,0,0,0,0,0
age_15_24,0,1.247541788773178,1.1194660827347382,1.1993805499704622,1.389820251432248
age_40_54,0,-0.40875755682657183,-0.4084235667490994,-0.6849356154538392,0
age_55_69,0,0,-0.5328893105939692,-1.2666720518872945,0
age_70,0,0,-0.5328893105939692,-1.2666720518872945,0
female,0,0.8249635740622474,0.44525991873123744,-0.6469937180316535,-0.2182068415350201
occupation_worker,0,0,0,0,0
income_low,0,0,0,0,0
income_high,0,0.24618530870521704,0.4363935946845947,0.6802092548867893,0.26669856004602654
recreation_trip,0,0,0,0,0
other_trip,0,0,0,0,0
cars_0,0,4.210687253607736,5.420087330962733,5.305583078192986,5.436792077589657
cars_2,0,-1.3641542755310267,-1.587218247128402,-1.5880370796334902,-1.1368826521766655
cars_3,0,-1.8639538957714747,-2.1148864961004863,-1.8738898233820076,-1.6757259270614755
cost,-0.15922925751035216,-0.15922925751035216,-0.03666721120425539,-0.06809050071863744,-0.10471677382168852
