variable,autoDriver,autoPassenger,pt,bicycle,walk
asc,0,-2.1488233260548455,-5.588866534817442,-3.285936427915532,1.910416578755498
age_5_14,0,1.7948403241286446,0,0,-1.075142189827889
age_15_24,0,1.7948403241286446,0,0,-1.075142189827889
age_40_54,0,-0.3784560842075621,0,0,-0.7529564475483629
age_55_69,0,-0.3784560842075621,0,0,-0.7529564475483629
age_70,0,-0.635378113360504,0,0,-3.4278629559053
female,0,0.6711442755569668,1.2939267275506536,0,0.7448226404501725
occupation_worker,0,-1.0245321518023789,-0.799159565845994,0,-0.5663327077225155
income_low,0,0,0,0,0
income_high,0,0,0,0,0
recreation_trip,0,0,0,0,0
other_trip,0,0,0,0,0
cars_0,0,2.098292931983223,5.676202067224154,0,4.904740555201314
cars_2,0,-0.5306794144706213,0,0,0
cars_3,0,-2.1457263104391737,0,0,-1.4081375789312331
cost,-0.27337792937589506,-0.27337792937589506,-0.05380666268598066,-0.4077437489988599,-0.1506213901094066
