variable,autoDriver,autoPassenger,pt,bicycle,walk
asc,0,-2.209806014506274,-2.0320906758582047,-2.8188528110497786,3.2130306817420236
age_5_14,0,0,0,0,0
age_15_24,0,1.3681899164720452,1.2899756401305733,0,0
age_40_54,0,0,0,0,0
age_55_69,0,0,0,0,0
age_70,0,0,0,0,0
female,0,0,0,0,-0.7449610050599775
occupation_worker,0,0,0,0,0
income_low,0,0,0,0,0
income_high,0,0,0.8636007710716593,0,0.6978255502708179
recreation_trip,0,0,0,0,0
other_trip,0,0,0,0,0
cars_0,0,2.50289796161235,4.10103731957263,0,5.710362358783732
cars_2,0,-1.2827701233976687,-1.413698257217197,0,0
cars_3,0,-1.2827701233976687,-1.413698257217197,0,0
cost,-0.19041021440373437,-0.19041021440373437,-0.05327963080410961,-0.17549412211303472,-0.1987581078476359
